Numero,Titulo,Compositor_Melodia,Compositor_Letra,Arquivo
96,Enfrentei o dia inteiro (Oferendas),Ir. Míria T. Kolling,J. Thomaz Filho,cantos/96_Enfrentei_o_dia_inteiro_Oferendas.pdf
97,Vem comigo à minha mesa (Comunhão),Ir. Míria T. Kolling,J. Thomaz Filho,cantos/97_Vem_comigo_à_minha_mesa_Comunhão.pdf
98,"Venham, benditos do Pai (Louvor final)",Ir. Míria T. Kolling,J. Thomaz Filho,cantos/98_Venham_benditos_do_Pai_Louvor_final.pdf
99,De todos cantos viemos (Entrada),Zé Vicente,,cantos/99_De_todos_cantos_viemos_Entrada.pdf
100,Chegou a hoArcalamação ao Evangelho/Procissão da Palavra,Zé Vicente,,cantos/100_Chegou_a_hoArcalamação_ao_EvangelhoProcissão_da_Pa.pdf
101,Nesta mesa (Oferendas),Zé Vicente,,cantos/101_Nesta_mesa_Oferendas.pdf
102,O pão sofrido (Comunhão),Zé Vicente,,cantos/102_O_pão_sofrido_Comunhão.pdf
103,"Ó vem, Senhor! (Louvor final)",Zé Vicente,,cantos/103_Ó_vem_Senhor_Louvor_final.pdf
104,Desde a eternidade (Entrada),Fr. Fabreti,J. Thomaz Filho,cantos/104_Desde_a_eternidade_Entrada.pdf
105,Quão formosos (Salmo responsorial),Fr. Fabreti,,cantos/105_Quão_formosos_Salmo_responsorial.pdf
106,Aleluia! Graças eu te dou (Aclamação ao Evangelho),Fr. Fabreti,J. Thomaz Filho,cantos/106_Aleluia_Graças_eu_te_dou_Aclamação_ao_Evangelho.pdf
107,Nas tuas mãos (Oferendas),Fr. Fabreti,J. Thomaz Filho,cantos/107_Nas_tuas_mãos_Oferendas.pdf
108,Vejam (Comunhão),Fr. Fabreti,J. Thomaz Filho,cantos/108_Vejam_Comunhão.pdf
109,Nosso povo nossa gente,Fr. Fabreti,,cantos/109_Nosso_povo_nossa_gente.pdf
110,Todo cansaço que quer nos dobrar (Entrada),Fr. Fabreti,J. Thomaz Filho,cantos/110_Todo_cansaço_que_quer_nos_dobrar_Entrada.pdf
111,Aleluia (Aclamação),Fr. Fabreti,J. Thomaz Filho,cantos/111_Aleluia_Aclamação.pdf
112,Bem sabemos (Oferendas),Fr. Fabreti,J. Thomaz Filho,cantos/112_Bem_sabemos_Oferendas.pdf
113,"Por Cristo, com Cristo... (Aclamação com louvor)",Fr. Fabreti,,cantos/113_Por_Cristo_com_Cristo_Aclamação_com_louvor.pdf
114,Vamos rever os nossos passos (Comunhão),Fr. fabreti,"J, Thomaz Filho",cantos/114_Vamos_rever_os_nossos_passos_Comunhão.pdf
115,Se um só Deus é nosso Pai (Louvor final),Fr. Fabreti,J. Thomaz Filho,cantos/115_Se_um_só_Deus_é_nosso_Pai_Louvor_final.pdf
116,"Senhor, piedade",Gen Rosso,,cantos/116_Senhor_piedade.pdf
117,Glória a Deus (Hino de louvor),RCC,,cantos/117_Glória_a_Deus_Hino_de_louvor.pdf
118,Santo!,Gen Rosso,,cantos/118_Santo.pdf
120,Esteja sempre com você,Agostinho B. Soares,,cantos/120_Esteja_sempre_com_você.pdf
122,Cordeiro de Deus!,Fr. Fabreti,,cantos/122_Cordeiro_de_Deus.pdf
123,"Perdão, Senhor!",Casimiro Nogueira,,cantos/123_Perdão_Senhor.pdf
125,Santo!,Casimiro Nogueira,,cantos/125_Santo.pdf
126,Após a Consagração,Fr. Beraldo,,cantos/126_Após_a_Consagração.pdf
127,Aclamações para a Oração Eucarística V,Fr. Beraldo,,cantos/127_Aclamações_para_a_Oração_Eucarística_V.pdf
128,Doxologia,Fr. Beraldo,,cantos/128_Doxologia.pdf
129,"Senhor, que viestes salvar (Ato penitencial)","Frei Fabreti, ofm",,cantos/129_Senhor_que_viestes_salvar_Ato_penitencial.pdf
130,Glória a Deus nas alturas,Fr. Fabreti,J. Thomaz Filho,cantos/130_Glória_a_Deus_nas_alturas.pdf
131,Santo dos Anjos!,Popular peruano,,cantos/131_Santo_dos_Anjos.pdf
132,Cordeiro de Deus!,Fr. Fabreti,,cantos/132_Cordeiro_de_Deus.pdf
133,Senhor!,Pe. José Cândido,,cantos/133_Senhor.pdf
134,Glória!,Ir. Míria T. Kolling,,cantos/134_Glória.pdf
135,Santo,Pe. José Cândido,,cantos/135_Santo.pdf
136,Após a Consagração,Pe. José Cândido,,cantos/136_Após_a_Consagração.pdf
137,Doxologia,Louvação tradicional na República dos Camarões,,cantos/137_Doxologia.pdf
138,Pai Nosso!,Ir. Míria T. Kolling,,cantos/138_Pai_Nosso.pdf
140,"Perdão Senhor, eu me afastei de ti",Casimiro Noqueira,,cantos/140_Perdão_Senhor_eu_me_afastei_de_ti.pdf
141,Glória a Deus nos céus!,Manoel Resende Filho,,cantos/141_Glória_a_Deus_nos_céus.pdf
142,Apresentação do Corpo e Sangue de Cristo,Pe. A. Haddad,,cantos/142_Apresentação_do_Corpo_e_Sangue_de_Cristo.pdf
143,É Natal,José Acácio Santana,,cantos/143_É_Natal.pdf
144,Natal é vida que nasce,José Acácio Santana,,cantos/144_Natal_é_vida_que_nasce.pdf
145,Hoje é dia de a gente se encontrar,José Acácio Santana,,cantos/145_Hoje_é_dia_de_a_gente_se_encontrar.pdf
146,"Terra toda, aclamai ao Senhor!",,,cantos/146_Terra_toda_aclamai_ao_Senhor.pdf
147,Imaculada Maria de Deus,Fr. Fabreti,,cantos/147_Imaculada_Maria_de_Deus.pdf
148,Fiquei foi contente,Reginaldo Veloso,,cantos/148_Fiquei_foi_contente.pdf
149,Quando o dia da paz renascer,Pe. Zezinho,,cantos/149_Quando_o_dia_da_paz_renascer.pdf
150,"Ó vinde, Espírito Criador!",Fr. Fabreti,,cantos/150_Ó_vinde_Espírito_Criador.pdf
151,Pelos prados e campinas,Fr. Fabreti,,cantos/151_Pelos_prados_e_campinas.pdf
152,"Vou cantar, entoar um canto novo",Fr. Fabreti,,cantos/152_Vou_cantar_entoar_um_canto_novo.pdf
153,"Cristo, quero ser instrumento",Fr. Fabreti,,cantos/153_Cristo_quero_ser_instrumento.pdf
154,A minh'alma engrandece o Senhor,Fr. Fabreti,,cantos/154_A_minhalma_engrandece_o_Senhor.pdf
155,"Meu Pão, minha Vida!",Ir. Míria T. Kolling,Pe. Lucio Floro,cantos/155_Meu_Pão_minha_Vida.pdf
156,Quem nos separará?,Valdir Neves da Silva,,cantos/156_Quem_nos_separará.pdf
162,Vai por esse mundo afora,Ir. Míria T. Kolling,,cantos/162_Vai_por_esse_mundo_afora.pdf
163,Vós sois o Sal e a Luz,Cireneu Kuhn,,cantos/163_Vós_sois_o_Sal_e_a_Luz.pdf
164,Caminhando Jesus,Pe. Lucas de P. Almeida,Pe. Argemiro K. Leite,cantos/164_Caminhando_Jesus.pdf
165,A Igreja se torna presente,Ir. Míria T. Kolling,,cantos/165_A_Igreja_se_torna_presente.pdf
166,"Vinde, exultemos",Antífona: Fr. Fabreti,,cantos/166_Vinde_exultemos.pdf
167,"Ainda que eu fale 1Cor 13,1-8",Hino à caridade,,cantos/167_Ainda_que_eu_fale_1Cor_131-8.pdf
168,Senhora d'Aparecida,Valdeci Farias,Ir. Luiza Neves,cantos/168_Senhora_dAparecida.pdf
169,Vou seguro e feliz pela vida,Ir. Míria T. Kolling,Pe. Lucio Floro,cantos/169_Vou_seguro_e_feliz_pela_vida.pdf
176,"No teu santuário, Senhor (Hino de Louvor)",Fr. Fabreti,,cantos/176_No_teu_santuário_Senhor_Hino_de_Louvor.pdf
177,Belos e formosos,,,cantos/177_Belos_e_formosos.pdf
178,"Ó Maria, Imaculada",Ir. Míria T. Kolling,,cantos/178_Ó_Maria_Imaculada.pdf
179,A traça é um bichinho,Fr. Fabreti,,cantos/179_A_traça_é_um_bichinho.pdf
180,Ladainha dos Santos,Coro: Ass. Coro:,,cantos/180_Ladainha_dos_Santos.pdf
182,De alegria eu exulto em Deus,Ir. Míria T. Kolling,,cantos/182_De_alegria_eu_exulto_em_Deus.pdf
183,Vejo a conchinha!,Tânia M. Godinho,,cantos/183_Vejo_a_conchinha.pdf
184,Quem foi que viu? (Ascensão do Senhor),Maria Sardemberg,,cantos/184_Quem_foi_que_viu_Ascensão_do_Senhor.pdf
185,Meu Deus do céu (Santíssima Trindade),Maria Sardemberg,,cantos/185_Meu_Deus_do_céu_Santíssima_Trindade.pdf
186,Para te louvar Virgem Maria,Maria Sardemberg,,cantos/186_Para_te_louvar_Virgem_Maria.pdf
187,"Meu irmão, tu não vês",Valdeci Farias,Pe. Lúcio Floro,cantos/187_Meu_irmão_tu_não_vês.pdf
188,Ainda que eu passe,Ir. Míria T. Kolling,,cantos/188_Ainda_que_eu_passe.pdf
189,Cantando um canto novo!,Fr. Fabreti,,cantos/189_Cantando_um_canto_novo.pdf
190,Esta mulher é pecadora,Maria Sardemberg,,cantos/190_Esta_mulher_é_pecadora.pdf
191,Louvai batendo palmas (Hino de Louvor),Fr. Fabreti,,cantos/191_Louvai_batendo_palmas_Hino_de_Louvor.pdf
192,O meu tesouro,Maria Sardemberg,,cantos/192_O_meu_tesouro.pdf
193,O Senhor é meu Pastor,Fr. Fabreti,,cantos/193_O_Senhor_é_meu_Pastor.pdf
194,Mil corações de criança,Maria Sardemberg,,cantos/194_Mil_corações_de_criança.pdf
195,Ladainha de Nossa Senhora,Fr. Fabreti / Ir. Míria,Hinário Franciscano,cantos/195_Ladainha_de_Nossa_Senhora.pdf
196,Só em Deus,Valdeci Farias,Ir. Celina Weschenfelder,cantos/196_Só_em_Deus.pdf
197,Mil vezes admirável,Ir. Míria T. Kolling,,cantos/197_Mil_vezes_admirável.pdf
198,"A ti, meu Deus (Comunhão)",Fr. Fabreti,,cantos/198_A_ti_meu_Deus_Comunhão.pdf
199,Me chamaste para caminhar,Alfred Mercica,,cantos/199_Me_chamaste_para_caminhar.pdf
200,A mesa tão grande,Zé Vicente,,cantos/200_A_mesa_tão_grande.pdf
201,Eis o amor-caridade,Ir. Míria T. Kolling,,cantos/201_Eis_o_amor-caridade.pdf
202,Senhora de todos os caminhos (Vocacional),Ir. Isabel e Fr. Fabreti,,cantos/202_Senhora_de_todos_os_caminhos_Vocacional.pdf
204,Dai graças ao Senhor,Fr. Fabreti,,cantos/204_Dai_graças_ao_Senhor.pdf
205,Livre ser tu queres,Ir. Míria T. Kolling,,cantos/205_Livre_ser_tu_queres.pdf
206,Mandarei um anjo,Ir. Míria T. Kolling,,cantos/206_Mandarei_um_anjo.pdf
207,"Salve, luz eterna",Ceci e André Martinelli,,cantos/207_Salve_luz_eterna.pdf
208,Estes lábios meus,Fr. Domingos,,cantos/208_Estes_lábios_meus.pdf
209,Criador das alturas celestes,Ir. Míria T. Kolling,Liturgia das Horas,cantos/209_Criador_das_alturas_celestes.pdf
210,Bênção final,Ir. Míria T. Kolling,,cantos/210_Bênção_final.pdf
211,Ave do mar estrela,Ir. Míria T. Kolling,Liturgia das horas,cantos/211_Ave_do_mar_estrela.pdf
212,"No fim desta tarde, Senhor",Ir. Míria T. Kolling,,cantos/212_No_fim_desta_tarde_Senhor.pdf
213,Vem ouvir a palavra,Pe. Elias Della Giustina,,cantos/213_Vem_ouvir_a_palavra.pdf
214,Nossa Senhora do sertanejo,Ir. Iracema Gomes da Silva,,cantos/214_Nossa_Senhora_do_sertanejo.pdf
215,"Maria, cheia de graça",Fr. Fabreti,J. Thomaz Filho,cantos/215_Maria_cheia_de_graça.pdf
216,Eis-me aqui no caminho,Fr. Fabreti,,cantos/216_Eis-me_aqui_no_caminho.pdf
217,Ladainha de todos os santos,Fr. Fabreti,,cantos/217_Ladainha_de_todos_os_santos.pdf
218,Lar de amor,Pe. Ricardo Dias Neto,,cantos/218_Lar_de_amor.pdf
219,Herdeiros do Reino,Pe. Ricardo Dias Neto,,cantos/219_Herdeiros_do_Reino.pdf
220,Pra consolar Maria,Pe. Ricardo Dias Neto,,cantos/220_Pra_consolar_Maria.pdf
221,"Aleluia! Javé, o nosso Deus",Fr. Fabreti,,cantos/221_Aleluia_Javé_o_nosso_Deus.pdf
222,"A cruz, quem olha envergonhado (Canto de entrada)",Fr. Fabreti,J. Thomaz Filho,cantos/222_A_cruz_quem_olha_envergonhado_Canto_de_entrada.pdf
223,Aleluia! A pedra rolou (Aclamação ao Evangelho),Fr. Fabreti,J. Thomaz Filho,cantos/223_Aleluia_A_pedra_rolou_Aclamação_ao_Evangelho.pdf
224,"Sem consolo, não tinham nem palavras (Canto das Oferendas)",Fr. Fabreti,J. Thomaz Filho,cantos/224_Sem_consolo_não_tinham_nem_palavras_Canto_das_Ofer.pdf
225,Coração compadecido (Comunhão),Fr. Fabreti,J. Thomaz Filho,cantos/225_Coração_compadecido_Comunhão.pdf
226,Novo Sol brilhou (Louvor final),Fr. Fabreti,J. Thomaz Filho,cantos/226_Novo_Sol_brilhou_Louvor_final.pdf
239,A Palavra de Deus é uma festa (Canto de Entrada),Pe. Lucio Floro,,cantos/239_A_Palavra_de_Deus_é_uma_festa_Canto_de_Entrada.pdf
240,"Água santa, ó água pura (Aspersão)",Ir. Míria T. Kolling,Pe. Lúcio Floro,cantos/240_Água_santa_ó_água_pura_Aspersão.pdf
241,Quero levar esta Bíblia,Ir. Míria T. Kolling,Pe. Lúcio Floro,cantos/241_Quero_levar_esta_Bíblia.pdf
242,Tua palavra é luz aos olhos,Ir. Míria T. Kolling,Pe. Lúcio Floro,cantos/242_Tua_palavra_é_luz_aos_olhos.pdf
243,O Evangelho é Deus Falando,Ir. Míria T. Kolling,Pe. Lúcio Floro,cantos/243_O_Evangelho_é_Deus_Falando.pdf
244,A Palavra de Deus é meu Deus,Ir. Míria T. Kolling,Pe. Lúcio Floro,cantos/244_A_Palavra_de_Deus_é_meu_Deus.pdf
245,Essa Palavra que Deus Pai (Comunhão),Ir. Míria T. Kolling,Pe. Lúcio Floro,cantos/245_Essa_Palavra_que_Deus_Pai_Comunhão.pdf
246,Palavra que é boa e nova,Ir. Míria T. Kolling,Pe. Lúcio Floro,cantos/246_Palavra_que_é_boa_e_nova.pdf
247,"Eis-me aqui, Senhor",Fr Fabreti,D. Pedro Brito Guimarães,cantos/247_Eis-me_aqui_Senhor.pdf
248,Aleluia! Ponho-me a ouvir (Aclamação ao Evangelho),Fr. Fabreti,D. Pedro Brito Guimarães,cantos/248_Aleluia_Ponho-me_a_ouvir_Aclamação_ao_Evangelho.pdf
249,Nos caminhos (Oferendas),Fr. Fabreti,D. Pedro Brito Guimarães,cantos/249_Nos_caminhos_Oferendas.pdf
250,O pão que não se reparte (Comunhão),Fr. Fabreti,D. Pedro Brito Guimarães,cantos/250_O_pão_que_não_se_reparte_Comunhão.pdf
251,Feliz de quem caminha (Louvor final),Fr. Fabreti,D Pedro Brito Guimarães,cantos/251_Feliz_de_quem_caminha_Louvor_final.pdf
253,Glória!,Ir. Míria T. Kolling,,cantos/253_Glória.pdf
254,Santo!,Ir. Míria T. Kolling,,cantos/254_Santo.pdf
255,Após a Consagração,,Eis o mis - té - rio da fé!,cantos/255_Após_a_Consagração.pdf
256,Aclamações - Oração Eucarística V,Ir. Míria T. Kolling,,cantos/256_Aclamações_-_Oração_Eucarística_V.pdf
257,Doxologia,Ir. Míria T. Kolling,,cantos/257_Doxologia.pdf
258,Pai Nosso!,Ir. Míria T. Kolling,,cantos/258_Pai_Nosso.pdf
259,Como é bom viver em harmonia (Abraço da paz),Ir. Míria T. Kolling,,cantos/259_Como_é_bom_viver_em_harmonia_Abraço_da_paz.pdf
260,Cordeiro de Deus!,Ir. Míria T. Kolling,,cantos/260_Cordeiro_de_Deus.pdf
261,Doxologia (II),Amém! Amém! Amém!,,cantos/261_Doxologia_II.pdf
262,Glória!,"Frei Fabreti, ofm",,cantos/262_Glória.pdf
263,Santo,Fr. Fabreti,,cantos/263_Santo.pdf
264,Cordeiro de Deus,,,cantos/264_Cordeiro_de_Deus.pdf
265,"Senhor, piedade!",Simey Monteiro,,cantos/265_Senhor_piedade.pdf
266,À Palavra de Deus,Antes das leituras,,cantos/266_À_Palavra_de_Deus.pdf
267,Resposta à Prece dos fiéis (recolhido por Ir. Míria),,,cantos/267_Resposta_à_Prece_dos_fiéis_recolhido_por_Ir_Míria.pdf
268,Doxologia (Recolhido por Fr. Fabreti),,,cantos/268_Doxologia_Recolhido_por_Fr_Fabreti.pdf
269,Aclamação após a consagração,Ernesto Barros Cardoso,,cantos/269_Aclamação_após_a_consagração.pdf
270,Aclamações da I Oração Eucarística,"-Abençoai nossa oferenda, ó Senhor!",,cantos/270_Aclamações_da_I_Oração_Eucarística.pdf
271,Aclamações da Oração Eucarística,para diversas circunstâncias,,cantos/271_Aclamações_da_Oração_Eucarística.pdf
272,Amém!,Dulcemar,,cantos/272_Amém.pdf
273,Glória das Comunidades,,,cantos/273_Glória_das_Comunidades.pdf
274,Santo!,Gustavo Balbin,,cantos/274_Santo.pdf
275,Cordeiro de Deus,,,cantos/275_Cordeiro_de_Deus.pdf
276,Eu vi a água,,,cantos/276_Eu_vi_a_água.pdf
277,"Tomai, e recebei, Senhor!",Ir. Míria T. Kolling,,cantos/277_Tomai_e_recebei_Senhor.pdf
278,Deixa-te modelar! (Jer 18-19),Ir. Míria T. Kolling,,cantos/278_Deixa-te_modelar_Jer_18-19.pdf
279,"Vem Senhor não quero caminhar sozinho(Lc 24, 13-35)",Ir. Míria T. Kolling,,cantos/279_Vem_Senhor_não_quero_caminhar_sozinhoLc_24_13-35.pdf
280,Alma de Cristo,Ir. Míria T. Kolling,,cantos/280_Alma_de_Cristo.pdf
282,Santa Mãe Maria,José Acácio Santana,,cantos/282_Santa_Mãe_Maria.pdf
283,Quando chamaste os doze primeiros,José Acácio Santana,,cantos/283_Quando_chamaste_os_doze_primeiros.pdf
284,De Deus criaturas,pe. João Carlos Ribeiro,Adaptação de D. Tomás Balduino,cantos/284_De_Deus_criaturas.pdf
285,"Pai, que criastes o céu!",,,cantos/285_Pai_que_criastes_o_céu.pdf
286,Se caminhar é preciso,Canção da caminhada,,cantos/286_Se_caminhar_é_preciso.pdf
287,"Javé, o Deus dos pobres",Esperança,,cantos/287_Javé_o_Deus_dos_pobres.pdf
288,Santo Antônio,Fr. Fabreti,,cantos/288_Santo_Antônio.pdf
289,Ninguém pode prender um sonho,Fr. Fabreti,J. Thomaz Filho,cantos/289_Ninguém_pode_prender_um_sonho.pdf
290,Javé mudou a sorte de Sião,Fr. Fabreti,,cantos/290_Javé_mudou_a_sorte_de_Sião.pdf
291,Seja bem-vindo quem chega,Mosteiro Ecumênico de Tezé,,cantos/291_Seja_bem-vindo_quem_chega.pdf
293,"Amigo, sê bem-vindo",Ir. Míria T. Kolling,,cantos/293_Amigo_sê_bem-vindo.pdf
294,Ao chegares aqui,Ir. Míria T. Kolling,,cantos/294_Ao_chegares_aqui.pdf
296,Se eu canto a alegria ou a tristeza,Ir. Míria T. Kolling,,cantos/296_Se_eu_canto_a_alegria_ou_a_tristeza.pdf
298,"A Ti, louvor e glória",Ir. Míria T. Kolling,,cantos/298_A_Ti_louvor_e_glória.pdf
300,"Senhor, cai a noite",Ir. Míria T. Kolling,,cantos/300_Senhor_cai_a_noite.pdf
301,Quando te domina o cansaço,Ir. Míria T. Kolling,,cantos/301_Quando_te_domina_o_cansaço.pdf
303,O meu coração é só de Jesus,Pe. Elio Athayde (adaptação),,cantos/303_O_meu_coração_é_só_de_Jesus.pdf
304,Pelo anjo visitada,Pe. Reginaldo Veloso,,cantos/304_Pelo_anjo_visitada.pdf
305,"Maria, Mãe e Esperança",Ir. Míria T. Kolling,Pe. Lúcio Floro,cantos/305_Maria_Mãe_e_Esperança.pdf
306,"Como é bonito teu nome, ó Maria!",Zé Vicente,,cantos/306_Como_é_bonito_teu_nome_ó_Maria.pdf
307,O verde das matas (Oferendas),Pe. João Carlos Ribeiro,,cantos/307_O_verde_das_matas_Oferendas.pdf
308,Vence a tristeza,Zé Vicente,,cantos/308_Vence_a_tristeza.pdf
311,"Depois de nós, as flores",Maria Sardenberg,,cantos/311_Depois_de_nós_as_flores.pdf
315,Eu me alegrei! (Canto de entrada),Ir. Míria T. Kolling,,cantos/315_Eu_me_alegrei_Canto_de_entrada.pdf
316,"Senhor, confesso... (Ato penitencial)",Ir. Míria T. Kolling,,cantos/316_Senhor_confesso_Ato_penitencial.pdf
317,Glória ao Pai Criador,Ir. Míria T. Kolling,,cantos/317_Glória_ao_Pai_Criador.pdf
318,"Senhor, eu quero...",Ir. Míria T. Kolling,,cantos/318_Senhor_eu_quero.pdf
319,É hora de aclamar!,Ir. Míria T. Kolling,,cantos/319_É_hora_de_aclamar.pdf
320,Bendito seja você! (Ofertas),Ir. Míria T. Kolling,,cantos/320_Bendito_seja_você_Ofertas.pdf
321,Oração Eucarística para missa com crianças - II,Ir. Míria T. Kolling,,cantos/321_Oração_Eucarística_para_missa_com_crianças_-_II.pdf
322,"É bom, é bom! (Abraço da paz)",Ir. Míria T. Kolling,,cantos/322_É_bom_é_bom_Abraço_da_paz.pdf
323,"Meu Deus, foi Você (Comunhão)",Ir. Míria T. Kolling,,cantos/323_Meu_Deus_foi_Você_Comunhão.pdf
324,Eu vou em Deus me alegrar! (Louvor final),Ir. Míria T. Kolling,,cantos/324_Eu_vou_em_Deus_me_alegrar_Louvor_final.pdf
